maker,segment,brand,parent_group,origin_country,is_passenger_car
-SHRADHA INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
A-1 SUREJA INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
A. A. TRAILOR,Trailer,(not a car maker),,,False
A.B. AGRO ENGINEERING WORKS&ENTERPRISES,Tractor & Farm equipment,(not a car maker),,,False
A.K.S. GEN. & AGRL. INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
ACTION CONSTRUCTION EQUIPMENT LTD,Construction equipment,(not a car maker),,,False
ADARSH ROTAVATOR SALES,Tractor & Farm equipment,(not a car maker),,,False
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD,Tractor & Farm equipment,(not a car maker),,,False
AGI AUTO INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,Tractor & Farm equipment,(not a car maker),,,False
AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
AGRO TRAILERS,Tractor & Farm equipment,(not a car maker),,,False
AJANTA KRUSHI YANTRA,Tractor & Farm equipment,(not a car maker),,,False
AJAX ENGINEERING LTD,Construction equipment,(not a car maker),,,False
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO,Tractor & Farm equipment,(not a car maker),,,False
AKASH AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
AKASH TRAILOR,Trailer,(not a car maker),,,False
AKSHAY INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,Tractor & Farm equipment,(not a car maker),,,False
AL-KHADEER ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
ALL TERRAIN CRANE,Construction equipment,(not a car maker),,,False
AMAR ENGINEERING WORKS,Small fabricator / workshop,(not a car maker),,,False
AMBICA AGRICULTURE,Tractor & Farm equipment,(not a car maker),,,False
AMBICA ENGINEERING CO,Other / unclassified,(not a car maker),,,False
AMBICA IRON WORKS,Other / unclassified,(not a car maker),,,False
AMBICA WELDING WORKS,Small fabricator / workshop,(not a car maker),,,False
ANIL INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
ANJNEY EARTHMOVERS AND ENGINEERING,Construction equipment,(not a car maker),,,False
ANNAPURNA TRAILER IMPLEMENTS,Trailer,(not a car maker),,,False
APSAGROINDUSTRIESDEVOLPMENTCORPORATIONLT,Tractor & Farm equipment,(not a car maker),,,False
ARJUN AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
ARJUN INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
ARUNA ENGINEERING WORKSHOP,Small fabricator / workshop,(not a car maker),,,False
ASHOK LEYLAND LTD,Commercial vehicle,(not a car maker),,,False
ASHOKA INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
ASTON MARTIN LAGONDA LTD,Other / unclassified,(not a car maker),,,False
ATHER ENERGY LTD,2W/3W maker (misfiled),(not a car maker),,,False
AUDI AG,Passenger car,Audi,Volkswagen Group,Germany,True
AUTOMOBILI LAMBORGHINI S.P.A,Passenger car,Lamborghini,Volkswagen Group,Italy,True
AWACHAT INDUSTRIES LTD,Small fabricator / workshop,(not a car maker),,,False
BABAR AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
BAJAJ AUTO LTD,2W/3W maker (misfiled),(not a car maker),,,False
BAJRANG AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
BAJRANG MECHANICAL WORKS,Small fabricator / workshop,(not a car maker),,,False
BALAJI AGRO INDUSTRIES,Tractor & Farm equipment,(not a car maker),,,False
BALAJI AUTO ENG WORKS,Small fabricator / workshop,(not a car maker),,,False
BALAJI ENGG WORKS,Small fabricator / workshop,(not a car maker),,,False
BALAJI FARM & STEEL WORKS,Tractor & Farm equipment,(not a car maker),,,False
BALAJI INDUSTRIES,Small fabricator / workshop,(not a car maker),,,False
BENTLEY MOTORS LIMITED,Passenger car,Bentley,Volkswagen Group,UK,True
BENTLEY MOTORS LTD (SAVWIPL),Passenger car,Bentley,Volkswagen Group,UK,True
BHANSALI AGRO TECH,Tractor & Farm equipment,(not a car maker),,,False
