state,region,state_code,state_or_ut,map_location
Andaman and Nicobar Islands,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India"
Andhra Pradesh,South,IN-AP,State,"Andhra Pradesh, India"
Arunachal Pradesh,North-East,IN-AR,State,"Arunachal Pradesh, India"
Assam,North-East,IN-AS,State,"Assam, India"
Bihar,East,IN-BR,State,"Bihar, India"
Chandigarh,North,IN-CH,Union Territory,"Chandigarh, India"
Chhattisgarh,Central,IN-CT,State,"Chhattisgarh, India"
Dadra and Nagar Haveli and Daman and Diu,West,IN-DH,Union Territory,"Dadra and Nagar Haveli and Daman and Diu, India"
Delhi,North,IN-DL,Union Territory,"Delhi, India"
Goa,West,IN-GA,State,"Goa, India"
Gujarat,West,IN-GJ,State,"Gujarat, India"
Haryana,North,IN-HR,State,"Haryana, India"
Himachal Pradesh,North,IN-HP,State,"Himachal Pradesh, India"
Jammu and Kashmir,North,IN-JK,Union Territory,"Jammu and Kashmir, India"
Jharkhand,East,IN-JH,State,"Jharkhand, India"
Karnataka,South,IN-KA,State,"Karnataka, India"
Kerala,South,IN-KL,State,"Kerala, India"
Ladakh,North,IN-LA,Union Territory,"Ladakh, India"
Lakshadweep,South,IN-LD,Union Territory,"Lakshadweep, India"
Madhya Pradesh,Central,IN-MP,State,"Madhya Pradesh, India"
Maharashtra,West,IN-MH,State,"Maharashtra, India"
Manipur,North-East,IN-MN,State,"Manipur, India"
Meghalaya,North-East,IN-ML,State,"Meghalaya, India"
Mizoram,North-East,IN-MZ,State,"Mizoram, India"
Nagaland,North-East,IN-NL,State,"Nagaland, India"
Odisha,East,IN-OR,State,"Odisha, India"
Puducherry,South,IN-PY,Union Territory,"Puducherry, India"
Punjab,North,IN-PB,State,"Punjab, India"
Rajasthan,North,IN-RJ,State,"Rajasthan, India"
Sikkim,North-East,IN-SK,State,"Sikkim, India"
Tamil Nadu,South,IN-TN,State,"Tamil Nadu, India"
Telangana,South,IN-TG,State,"Telangana, India"
Tripura,North-East,IN-TR,State,"Tripura, India"
Uttar Pradesh,North,IN-UP,State,"Uttar Pradesh, India"
Uttarakhand,North,IN-UK,State,"Uttarakhand, India"
West Bengal,East,IN-WB,State,"West Bengal, India"
