month_date,state,maker,powertrain,registrations
2026-01-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),4
2026-03-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-04-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),2
2026-05-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-06-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-02-01,Andaman and Nicobar Islands,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1
2026-04-01,Andaman and Nicobar Islands,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1
2026-04-01,Andaman and Nicobar Islands,MARUTI SUZUKI INDIA LTD,Electric (EV),1
2026-05-01,Andaman and Nicobar Islands,MARUTI SUZUKI INDIA LTD,Electric (EV),1
2026-01-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),3
2026-02-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),4
2026-03-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),1
2026-05-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),2
2026-06-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),1
2026-01-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),7
2026-02-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),3
2026-03-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),9
2026-04-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),13
2026-05-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),4
2026-06-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),7
2026-01-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),5
2026-02-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),4
2026-03-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),12
2026-04-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),12
2026-05-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),19
2026-06-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),18
2026-01-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),11
2026-02-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),10
2026-03-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),6
2026-04-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),12
2026-05-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),16
2026-06-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),8
2026-01-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),115
2026-02-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),114
2026-03-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),144
2026-04-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),195
2026-05-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),143
2026-06-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),98
2026-01-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),6
2026-02-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),5
2026-03-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),11
2026-04-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),7
2026-05-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),6
2026-06-01,Andhra Pradesh,KIA INDIA PRIVATE LIMITED,Electric (EV),8
2026-01-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),13
2026-02-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),4
2026-03-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),3
2026-04-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),6
2026-05-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),26
2026-06-01,Andhra Pradesh,MAHINDRA & MAHINDRA LIMITED,Electric (EV),14
2026-01-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),145
2026-02-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),127
2026-03-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),206
2026-04-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),271
2026-05-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),295
2026-06-01,Andhra Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),226
2026-01-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),2
2026-02-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),8
2026-03-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),23
2026-04-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),42
2026-05-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),61
2026-06-01,Andhra Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),45
2026-01-01,Andhra Pradesh,MERCEDES-BENZ AG,Electric (EV),1
2026-05-01,Andhra Pradesh,MERCEDES-BENZ AG,Electric (EV),2
