Month,State,Maker (legal entity),Powertrain,Registrations,Brand,Parent Group,Origin Country,Region,State Code,State or UT,Map Location,Month Name,Month Number,Quarter,Days Covered,Is Partial Month,Is EV
2026-01-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),4,MG,JSW-SAIC,India / China,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Jan,1,Q1,31,False,True
2026-03-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1,MG,JSW-SAIC,India / China,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Mar,3,Q1,31,False,True
2026-04-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),2,MG,JSW-SAIC,India / China,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Apr,4,Q2,30,False,True
2026-05-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1,MG,JSW-SAIC,India / China,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",May,5,Q2,31,False,True
2026-06-01,Andaman and Nicobar Islands,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1,MG,JSW-SAIC,India / China,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Jun,6,Q2,17,True,True
2026-02-01,Andaman and Nicobar Islands,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1,Mahindra,Mahindra,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Feb,2,Q1,28,False,True
2026-04-01,Andaman and Nicobar Islands,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1,Mahindra,Mahindra,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Apr,4,Q2,30,False,True
2026-04-01,Andaman and Nicobar Islands,MARUTI SUZUKI INDIA LTD,Electric (EV),1,Maruti Suzuki,Suzuki,Japan,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Apr,4,Q2,30,False,True
2026-05-01,Andaman and Nicobar Islands,MARUTI SUZUKI INDIA LTD,Electric (EV),1,Maruti Suzuki,Suzuki,Japan,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",May,5,Q2,31,False,True
2026-01-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),3,Tata,Tata Motors,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Jan,1,Q1,31,False,True
2026-02-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),4,Tata,Tata Motors,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Feb,2,Q1,28,False,True
2026-03-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),1,Tata,Tata Motors,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Mar,3,Q1,31,False,True
2026-05-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),2,Tata,Tata Motors,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",May,5,Q2,31,False,True
2026-06-01,Andaman and Nicobar Islands,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),1,Tata,Tata Motors,India,South,IN-AN,Union Territory,"Andaman and Nicobar Islands, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),7,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),3,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),9,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),13,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),4,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,BMW INDIA PVT LTD,Electric (EV),7,BMW,BMW Group,Germany,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),5,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),4,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),12,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),12,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),19,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,BYD INDIA PRIVATE LIMITED,Electric (EV),18,BYD,BYD,China,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),11,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
2026-02-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),10,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Feb,2,Q1,28,False,True
2026-03-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),6,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Mar,3,Q1,31,False,True
2026-04-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),12,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Apr,4,Q2,30,False,True
2026-05-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),16,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",May,5,Q2,31,False,True
2026-06-01,Andhra Pradesh,HYUNDAI MOTOR INDIA LTD,Electric (EV),8,Hyundai,Hyundai,South Korea,South,IN-AP,State,"Andhra Pradesh, India",Jun,6,Q2,17,True,True
2026-01-01,Andhra Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),115,MG,JSW-SAIC,India / China,South,IN-AP,State,"Andhra Pradesh, India",Jan,1,Q1,31,False,True
